task_id,msg_index,role,tokens,cites,mean_cos_sim,attn_per_token,attn_total
637d6462-65e6-42a3-954d-3f5129f2a3b6,18,tool,65,4,0.5894,0.007560,0.491392
637d6462-65e6-42a3-954d-3f5129f2a3b6,19,assistant,73,0,0.3894,0.019330,1.411116
637d6462-65e6-42a3-954d-3f5129f2a3b6,20,tool,65,3,0.6213,0.005617,0.365100
637d6462-65e6-42a3-954d-3f5129f2a3b6,21,assistant,83,0,0.3964,0.014950,1.240817
637d6462-65e6-42a3-954d-3f5129f2a3b6,22,tool,131,2,0.6056,0.007557,0.989913
637d6462-65e6-42a3-954d-3f5129f2a3b6,23,assistant,76,1,0.4631,0.012639,0.960550
637d6462-65e6-42a3-954d-3f5129f2a3b6,24,tool,185,1,0.6038,0.005440,1.006402
637d6462-65e6-42a3-954d-3f5129f2a3b6,25,assistant,89,0,0.4413,0.030364,2.702404
637d6462-65e6-42a3-954d-3f5129f2a3b6,26,tool,446,0,0.7297,0.012125,5.407626
637d6462-65e6-42a3-954d-3f5129f2a3b6,27,assistant,43,0,0.4709,0.042079,1.809380
637d6462-65e6-42a3-954d-3f5129f2a3b6,28,tool,76,0,0.5555,0.016453,1.250416
637d6462-65e6-42a3-954d-3f5129f2a3b6,29,assistant,393,0,0.2780,0.160385,63.031487
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,14,tool,1691,6,0.4599,0.093176,157.560730
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,15,assistant,79,1,0.2200,0.017146,1.354555
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,16,tool,61,7,0.5796,0.003812,0.232505
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,17,assistant,54,2,0.5132,0.009773,0.527740
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,18,tool,60,6,0.6052,0.001516,0.090958
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,19,assistant,55,2,0.3899,0.004195,0.230700
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,20,tool,52,4,0.3150,0.002755,0.143254
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,21,assistant,68,2,0.4196,0.004400,0.299168
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,22,tool,91,4,0.5398,0.003425,0.311715
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,23,assistant,90,4,0.5239,0.005562,0.500617
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,24,tool,1703,3,0.4026,0.006281,10.696619
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,25,assistant,43,1,0.2546,0.012838,0.552053
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,26,tool,90,1,0.3537,0.003577,0.321885
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,27,assistant,228,1,0.3417,0.008908,2.030933
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,28,tool,298,1,0.5375,0.007956,2.370803
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,29,assistant,76,1,0.4767,0.017605,1.337997
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,30,tool,393,0,0.4192,0.007068,2.777541
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,31,user,40,0,0.3926,0.021571,0.862847
aaf09a9a-950d-4bf0-a21a-d7d10047d51c,32,assistant,972,0,0.2398,0.075889,73.764214
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,15,assistant,1917,4,0.3508,0.086462,165.748260
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,16,tool,48,3,0.5076,0.010115,0.485497
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,17,assistant,104,3,0.3849,0.012400,1.289591
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,18,tool,130,2,0.6204,0.003573,0.464475
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,19,assistant,3231,2,0.5739,0.005402,17.454355
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,20,tool,48,1,0.4129,0.016151,0.775271
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,21,assistant,134,1,0.3684,0.031564,4.229608
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,22,tool,158,0,0.7161,0.015504,2.449596
7c1d3f5a-dd10-4e3c-a0f1-a94bc2a010bd,23,assistant,374,0,0.5147,0.168733,63.106319
835d7635-aea6-48b4-96c4-206c5e95f083,29,assistant,5312,1,0.2572,0.033831,179.710205
835d7635-aea6-48b4-96c4-206c5e95f083,30,tool,133,0,0.5463,0.016583,2.205479
835d7635-aea6-48b4-96c4-206c5e95f083,31,user,40,0,0.1806,0.033168,1.326716
835d7635-aea6-48b4-96c4-206c5e95f083,32,assistant,659,0,0.2200,0.110400,72.753654
3f4b79bf-7f27-48e9-b619-85f858dd59e2,25,assistant,1882,3,0.2189,0.085515,160.939438
3f4b79bf-7f27-48e9-b619-85f858dd59e2,26,tool,163,2,0.6853,0.015515,2.528953
3f4b79bf-7f27-48e9-b619-85f858dd59e2,27,assistant,1069,2,0.5192,0.011683,12.489341
3f4b79bf-7f27-48e9-b619-85f858dd59e2,28,tool,122,1,0.6870,0.009850,1.201698
3f4b79bf-7f27-48e9-b619-85f858dd59e2,29,assistant,2105,1,0.4971,0.003664,7.712285
3f4b79bf-7f27-48e9-b619-85f858dd59e2,30,tool,92,0,0.6293,0.017555,1.615065
3f4b79bf-7f27-48e9-b619-85f858dd59e2,31,user,40,0,0.2897,0.039931,1.597252
3f4b79bf-7f27-48e9-b619-85f858dd59e2,32,assistant,671,0,0.3337,0.101211,67.912247
b92eecfe-0cff-4746-ae98-986f2512c084,27,assistant,2969,2,0.4641,0.052789,156.731842
b92eecfe-0cff-4746-ae98-986f2512c084,28,tool,763,1,0.4573,0.018357,14.006619
b92eecfe-0cff-4746-ae98-986f2512c084,29,assistant,613,1,0.4256,0.009311,5.707559
b92eecfe-0cff-4746-ae98-986f2512c084,30,tool,677,0,0.6065,0.003940,2.667343
b92eecfe-0cff-4746-ae98-986f2512c084,31,user,40,0,0.5781,0.024298,0.971914
b92eecfe-0cff-4746-ae98-986f2512c084,32,assistant,1082,0,0.2658,0.070170,75.924080
930977e3-cb4e-4bcd-8218-c717389c4c14,14,tool,879,2,0.4747,0.182471,160.392212
930977e3-cb4e-4bcd-8218-c717389c4c14,15,assistant,492,2,0.4472,0.005304,2.609632
930977e3-cb4e-4bcd-8218-c717389c4c14,16,tool,219,1,0.4422,0.002074,0.454213
930977e3-cb4e-4bcd-8218-c717389c4c14,17,assistant,3461,1,0.4669,0.006262,21.671162
930977e3-cb4e-4bcd-8218-c717389c4c14,18,tool,701,0,0.5601,0.006804,4.769751
930977e3-cb4e-4bcd-8218-c717389c4c14,19,assistant,392,0,0.5715,0.168605,66.093170
e0faf24b-e135-412f-b89d-c90b263e677b,6,tool,2923,1,0.5675,0.053299,155.792755
e0faf24b-e135-412f-b89d-c90b263e677b,7,assistant,201,1,0.2844,0.025314,5.088061
e0faf24b-e135-412f-b89d-c90b263e677b,8,tool,3020,0,,0.031493,95.108276
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,0,user,25,8,,5.387014,134.675354
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,1,assistant,210,2,0.2824,0.006620,1.390231
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,2,tool,51,7,0.4237,0.003963,0.202095
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,3,assistant,77,4,0.3277,0.004962,0.382068
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,4,tool,45,6,0.2398,0.002880,0.129582
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,5,assistant,32,4,0.2881,0.003787,0.121184
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,6,tool,49,5,0.4983,0.000898,0.043996
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,7,assistant,75,4,0.2200,0.002046,0.153417
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,8,tool,48,4,0.5790,0.000825,0.039591
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,9,assistant,68,3,0.2392,0.002685,0.182576
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,10,tool,51,3,0.4820,0.001191,0.060735
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,11,assistant,2640,2,0.5024,0.014569,38.463005
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,12,tool,821,2,0.5829,0.008731,7.168093
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,13,assistant,94,2,0.6166,0.018316,1.721717
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,14,tool,141,1,0.4609,0.006773,0.954972
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,15,assistant,396,1,0.4634,0.008036,3.182379
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,16,tool,363,0,0.3547,0.009371,3.401714
66890ddc-faa5-4ca2-9f80-f751e2f8eed3,17,assistant,408,0,0.5473,0.156189,63.724957
4d2329c7-4e2a-4067-b4ee-451967d130e7,10,tool,1050,4,0.3753,0.144128,151.334869
4d2329c7-4e2a-4067-b4ee-451967d130e7,11,assistant,325,7,0.4092,0.009355,3.040287
4d2329c7-4e2a-4067-b4ee-451967d130e7,12,tool,79,6,0.5620,0.003359,0.265371
4d2329c7-4e2a-4067-b4ee-451967d130e7,13,assistant,107,7,0.4341,0.008405,0.899319
4d2329c7-4e2a-4067-b4ee-451967d130e7,14,tool,81,4,0.5712,0.002238,0.181276
4d2329c7-4e2a-4067-b4ee-451967d130e7,15,assistant,106,6,0.4401,0.004218,0.447129
4d2329c7-4e2a-4067-b4ee-451967d130e7,16,tool,313,3,0.4434,0.003853,1.205904
4d2329c7-4e2a-4067-b4ee-451967d130e7,17,assistant,77,7,0.4466,0.009230,0.710681
4d2329c7-4e2a-4067-b4ee-451967d130e7,18,tool,52,4,0.5125,0.001381,0.071805
4d2329c7-4e2a-4067-b4ee-451967d130e7,19,assistant,116,2,0.3527,0.005203,0.603592
4d2329c7-4e2a-4067-b4ee-451967d130e7,20,tool,155,3,0.4636,0.002943,0.456113
4d2329c7-4e2a-4067-b4ee-451967d130e7,21,assistant,63,4,0.4189,0.004363,0.274896
4d2329c7-4e2a-4067-b4ee-451967d130e7,22,tool,84,2,0.3415,0.002740,0.230198
4d2329c7-4e2a-4067-b4ee-451967d130e7,23,assistant,93,1,0.3145,0.002314,0.215192
4d2329c7-4e2a-4067-b4ee-451967d130e7,24,tool,508,1,0.3071,0.004304,2.186600
4d2329c7-4e2a-4067-b4ee-451967d130e7,25,assistant,118,3,0.4297,0.013105,1.546345
4d2329c7-4e2a-4067-b4ee-451967d130e7,26,tool,102,2,0.5776,0.001868,0.190509
4d2329c7-4e2a-4067-b4ee-451967d130e7,27,assistant,86,0,0.2947,0.010243,0.880913
4d2329c7-4e2a-4067-b4ee-451967d130e7,28,tool,1675,1,0.6560,0.009182,15.379606
4d2329c7-4e2a-4067-b4ee-451967d130e7,29,assistant,358,1,0.3981,0.025696,9.199018
4d2329c7-4e2a-4067-b4ee-451967d130e7,30,tool,154,0,0.7001,0.014765,2.273740
4d2329c7-4e2a-4067-b4ee-451967d130e7,31,user,40,0,0.3764,0.032168,1.286705
4d2329c7-4e2a-4067-b4ee-451967d130e7,32,assistant,402,0,0.1975,0.157105,63.156178
1a2a12a6-0353-4326-9590-d8a5b5e56de5,13,assistant,839,3,0.3150,0.195515,164.037140
1a2a12a6-0353-4326-9590-d8a5b5e56de5,14,tool,88,8,0.4919,0.005003,0.440287
1a2a12a6-0353-4326-9590-d8a5b5e56de5,15,assistant,1906,2,0.3241,0.003824,7.288817
1a2a12a6-0353-4326-9590-d8a5b5e56de5,16,tool,216,7,0.5447,0.001777,0.383785
1a2a12a6-0353-4326-9590-d8a5b5e56de5,17,assistant,193,1,0.2831,0.009380,1.810330
1a2a12a6-0353-4326-9590-d8a5b5e56de5,18,tool,233,3,0.3786,0.003359,0.782600
1a2a12a6-0353-4326-9590-d8a5b5e56de5,19,assistant,65,3,0.3526,0.012017,0.781118
1a2a12a6-0353-4326-9590-d8a5b5e56de5,20,tool,742,5,0.5861,0.004075,3.023814
1a2a12a6-0353-4326-9590-d8a5b5e56de5,21,assistant,160,5,0.3339,0.007969,1.275072
1a2a12a6-0353-4326-9590-d8a5b5e56de5,22,tool,219,4,0.2790,0.003562,0.780172
1a2a12a6-0353-4326-9590-d8a5b5e56de5,23,assistant,107,4,0.4146,0.010555,1.129400
1a2a12a6-0353-4326-9590-d8a5b5e56de5,24,tool,76,3,0.1838,0.003364,0.255677
1a2a12a6-0353-4326-9590-d8a5b5e56de5,25,assistant,49,0,0.3463,0.010454,0.512223
1a2a12a6-0353-4326-9590-d8a5b5e56de5,26,tool,249,2,0.6975,0.008453,2.104805
1a2a12a6-0353-4326-9590-d8a5b5e56de5,27,assistant,67,2,0.6145,0.015776,1.056959
1a2a12a6-0353-4326-9590-d8a5b5e56de5,28,tool,96,1,0.7540,0.007863,0.754814
1a2a12a6-0353-4326-9590-d8a5b5e56de5,29,assistant,107,1,0.4575,0.021325,2.281792
1a2a12a6-0353-4326-9590-d8a5b5e56de5,30,tool,184,0,0.6340,0.011424,2.102043
1a2a12a6-0353-4326-9590-d8a5b5e56de5,31,user,40,0,0.5889,0.026218,1.048702
1a2a12a6-0353-4326-9590-d8a5b5e56de5,32,assistant,508,0,0.2377,0.126279,64.149704
4143608f-6ca7-4f3b-af9c-63e2389306ae,0,user,43,2,,3.606960,155.099289
4143608f-6ca7-4f3b-af9c-63e2389306ae,1,assistant,499,2,0.4412,0.017795,8.879621
4143608f-6ca7-4f3b-af9c-63e2389306ae,2,tool,483,1,0.6415,0.040720,19.667904
4143608f-6ca7-4f3b-af9c-63e2389306ae,3,assistant,209,1,0.6044,0.025418,5.312354
4143608f-6ca7-4f3b-af9c-63e2389306ae,4,tool,484,0,0.3944,0.010388,5.027653
4143608f-6ca7-4f3b-af9c-63e2389306ae,5,assistant,277,0,0.4507,0.223861,62.009529
19be0b4f-b8d3-48f9-af88-6d22eda39812,4,tool,1,4,0.5765,136.187500,136.187500
19be0b4f-b8d3-48f9-af88-6d22eda39812,5,assistant,237,4,0.4467,0.020015,4.743454
19be0b4f-b8d3-48f9-af88-6d22eda39812,6,tool,2171,3,0.6562,0.007615,16.531782
19be0b4f-b8d3-48f9-af88-6d22eda39812,7,assistant,65,4,0.4655,0.024578,1.597546
19be0b4f-b8d3-48f9-af88-6d22eda39812,8,tool,45,2,0.5763,0.007304,0.328691
19be0b4f-b8d3-48f9-af88-6d22eda39812,9,assistant,89,1,0.1605,0.016776,1.493066
19be0b4f-b8d3-48f9-af88-6d22eda39812,10,tool,70,2,0.6344,0.006464,0.452492
19be0b4f-b8d3-48f9-af88-6d22eda39812,11,assistant,51,1,0.5299,0.012748,0.650139
19be0b4f-b8d3-48f9-af88-6d22eda39812,12,tool,180,1,0.4685,0.002740,0.493286
19be0b4f-b8d3-48f9-af88-6d22eda39812,13,assistant,2798,1,0.1838,0.011282,31.567074
19be0b4f-b8d3-48f9-af88-6d22eda39812,14,tool,123,0,0.8081,0.030166,3.710442
19be0b4f-b8d3-48f9-af88-6d22eda39812,15,assistant,314,0,0.4445,0.185461,58.234684
4d970add-e084-4d3d-ab6a-e2d17adf6293,4,tool,5048,0,0.4619,0.035517,179.287827
4d970add-e084-4d3d-ab6a-e2d17adf6293,5,assistant,1096,0,0.3961,0.069967,76.683891
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,14,tool,775,8,0.5230,0.201984,156.537720
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,15,assistant,69,1,0.3234,0.010685,0.737277
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,16,tool,2486,5,0.4788,0.003788,9.416489
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,17,assistant,189,6,0.3879,0.010506,1.985645
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,18,tool,48,6,0.4638,0.005007,0.240337
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,19,assistant,758,2,0.2876,0.008402,6.368963
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,20,tool,47,5,0.5221,0.005748,0.270155
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,21,assistant,31,0,0.3078,0.018719,0.580285
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,22,tool,87,4,0.4738,0.007168,0.623635
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,23,assistant,66,1,0.3283,0.013468,0.888875
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,24,tool,144,3,0.6001,0.008459,1.218132
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,25,assistant,185,3,0.4287,0.018384,3.401051
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,26,tool,357,1,0.5854,0.006134,2.189894
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,27,assistant,77,2,0.4687,0.019616,1.510422
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,28,tool,99,1,0.4820,0.006858,0.678924
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,29,assistant,130,0,0.3962,0.017877,2.324036
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,30,tool,203,0,0.5174,0.011436,2.321479
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,31,user,40,0,0.3168,0.039968,1.598733
d8afc89a-969c-4d4e-b19e-eaf9eaf81053,32,assistant,353,0,0.2299,0.178708,63.083805
6b062f7e-1668-49e5-b364-8e4ac8c6d149,0,user,24,1,,6.361846,152.684311
6b062f7e-1668-49e5-b364-8e4ac8c6d149,1,assistant,799,1,0.7676,0.021120,16.875254
6b062f7e-1668-49e5-b364-8e4ac8c6d149,2,tool,486,0,0.8569,0.029081,14.133548
6b062f7e-1668-49e5-b364-8e4ac8c6d149,3,assistant,879,0,0.7893,0.082236,72.285713
4375060a-a136-4353-a0d2-d3c7e0d28952,9,assistant,36,4,0.4070,3.440391,123.854073
4375060a-a136-4353-a0d2-d3c7e0d28952,10,tool,48,5,0.5645,0.004342,0.208426
4375060a-a136-4353-a0d2-d3c7e0d28952,11,assistant,2049,4,0.3025,0.012102,24.796747
4375060a-a136-4353-a0d2-d3c7e0d28952,12,tool,46,4,0.4729,0.003655,0.168140
4375060a-a136-4353-a0d2-d3c7e0d28952,13,assistant,1421,3,0.2771,0.001867,2.652398
4375060a-a136-4353-a0d2-d3c7e0d28952,14,tool,46,3,0.6796,0.003172,0.145905
4375060a-a136-4353-a0d2-d3c7e0d28952,15,assistant,44,2,0.2838,0.008706,0.383061
4375060a-a136-4353-a0d2-d3c7e0d28952,16,tool,1073,0,0.5042,0.017740,19.035534
4375060a-a136-4353-a0d2-d3c7e0d28952,17,assistant,158,2,0.3393,0.010305,1.628166
4375060a-a136-4353-a0d2-d3c7e0d28952,18,tool,199,1,0.6791,0.005361,1.066897
4375060a-a136-4353-a0d2-d3c7e0d28952,19,assistant,188,1,0.7243,0.010099,1.898658
4375060a-a136-4353-a0d2-d3c7e0d28952,20,tool,199,0,0.6856,0.004480,0.891520
4375060a-a136-4353-a0d2-d3c7e0d28952,21,assistant,637,0,0.6034,0.124482,79.294945
21e71c1c-8616-4fa4-b9ae-c4f48f88079d,30,tool,5722,0,0.4854,0.031680,181.274689
21e71c1c-8616-4fa4-b9ae-c4f48f88079d,31,user,40,0,0.2423,0.053245,2.129791
21e71c1c-8616-4fa4-b9ae-c4f48f88079d,32,assistant,382,0,0.1565,0.190060,72.603020
d34beda0-2a3d-40fd-9373-56267c6330a6,10,tool,364,2,0.4693,0.334308,121.688240
d34beda0-2a3d-40fd-9373-56267c6330a6,11,assistant,2761,1,0.5193,0.013906,38.393208
d34beda0-2a3d-40fd-9373-56267c6330a6,12,tool,403,1,0.5601,0.008106,3.266584
d34beda0-2a3d-40fd-9373-56267c6330a6,13,assistant,115,1,0.6107,0.025944,2.983615
d34beda0-2a3d-40fd-9373-56267c6330a6,14,tool,2501,0,,0.035861,89.688309
51c83727-0266-42e9-943f-f2186bc19e56,19,assistant,1780,2,0.3383,0.096031,170.935638
51c83727-0266-42e9-943f-f2186bc19e56,20,tool,47,1,0.7718,0.070919,3.333175
51c83727-0266-42e9-943f-f2186bc19e56,21,assistant,4239,1,0.2930,0.015552,65.923912
51c83727-0266-42e9-943f-f2186bc19e56,22,tool,78,0,,0.202668,15.808113
268a8715-aca4-4edd-908c-60feff040be7,9,assistant,1692,3,0.3498,0.086922,147.072037
268a8715-aca4-4edd-908c-60feff040be7,10,tool,161,2,0.4448,0.009162,1.475156
268a8715-aca4-4edd-908c-60feff040be7,11,assistant,883,1,0.2874,0.003199,2.824589
268a8715-aca4-4edd-908c-60feff040be7,12,tool,259,1,0.4542,0.009854,2.552086
268a8715-aca4-4edd-908c-60feff040be7,13,assistant,1905,1,0.4102,0.017460,33.261070
268a8715-aca4-4edd-908c-60feff040be7,14,tool,1244,0,,0.055316,68.812782
1bab22d7-39f7-4f86-82ac-420db3a53d39,2,tool,2153,1,0.7585,0.071554,154.056503
1bab22d7-39f7-4f86-82ac-420db3a53d39,3,assistant,201,2,0.4751,0.007944,1.596683
1bab22d7-39f7-4f86-82ac-420db3a53d39,4,tool,3020,1,0.7750,0.007736,23.361357
1bab22d7-39f7-4f86-82ac-420db3a53d39,5,assistant,120,0,0.4364,0.032707,3.924826
1bab22d7-39f7-4f86-82ac-420db3a53d39,6,tool,231,0,0.8146,0.030259,6.989717
1bab22d7-39f7-4f86-82ac-420db3a53d39,7,assistant,419,0,0.5883,0.157721,66.085098
89f00409-edc2-48ec-8774-6080cb79d28a,0,user,32,0,,5.538380,177.228149
89f00409-edc2-48ec-8774-6080cb79d28a,1,assistant,66,0,0.7565,0.309435,20.422743
89f00409-edc2-48ec-8774-6080cb79d28a,2,tool,67,0,0.7184,0.295662,19.809381
89f00409-edc2-48ec-8774-6080cb79d28a,3,assistant,166,0,0.2978,0.232134,38.534206
6afb4072-ee38-4f5f-b034-24672eb7771a,11,assistant,1212,5,0.3129,0.130900,158.650253
6afb4072-ee38-4f5f-b034-24672eb7771a,12,tool,750,5,0.4574,0.002056,1.542329
6afb4072-ee38-4f5f-b034-24672eb7771a,13,assistant,225,5,0.5941,0.004422,0.994935
6afb4072-ee38-4f5f-b034-24672eb7771a,14,tool,1386,4,0.5817,0.010256,14.215261
6afb4072-ee38-4f5f-b034-24672eb7771a,15,assistant,156,2,0.4480,0.006844,1.067721
6afb4072-ee38-4f5f-b034-24672eb7771a,16,tool,130,3,0.6939,0.004079,0.530330
6afb4072-ee38-4f5f-b034-24672eb7771a,17,assistant,129,3,0.2890,0.006445,0.831345
6afb4072-ee38-4f5f-b034-24672eb7771a,18,tool,622,1,0.5485,0.002140,1.331127
6afb4072-ee38-4f5f-b034-24672eb7771a,19,assistant,245,2,0.3385,0.009376,2.297143
6afb4072-ee38-4f5f-b034-24672eb7771a,20,tool,235,1,0.4375,0.007099,1.668203
6afb4072-ee38-4f5f-b034-24672eb7771a,21,assistant,121,1,0.3593,0.010187,1.232673
